"","data","stato","ricoverati_con_sintomi","terapia_intensiva","totale_ospedalizzati","isolamento_domiciliare","totale_positivi","variazione_totale_positivi","nuovi_positivi","dimessi_guariti","deceduti","casi_da_sospetto_diagnostico","casi_da_screening","totale_casi","tamponi","casi_testati","note","ingressi_terapia_intensiva","note_test","note_casi"
"1","2020-02-24T18:00:00","ITA",101,26,127,94,221,0,221,1,7,NA,NA,229,4324,NA,"",NA,NA,NA
"2","2020-02-25T18:00:00","ITA",114,35,150,162,311,90,93,1,10,NA,NA,322,8623,NA,"",NA,NA,NA
"3","2020-02-26T18:00:00","ITA",128,36,164,221,385,74,78,3,12,NA,NA,400,9587,NA,"",NA,NA,NA
"4","2020-02-27T18:00:00","ITA",248,56,304,284,588,203,250,45,17,NA,NA,650,12014,NA,"",NA,NA,NA
"5","2020-02-28T18:00:00","ITA",345,64,409,412,821,233,238,46,21,NA,NA,888,15695,NA,"",NA,NA,NA
"6","2020-02-29T18:00:00","ITA",401,105,506,543,1049,228,240,50,29,NA,NA,1128,18661,NA,"",NA,NA,NA
"7","2020-03-01T18:00:00","ITA",639,140,779,798,1577,528,566,83,34,NA,NA,1694,21127,NA,"",NA,NA,NA
"8","2020-03-02T18:00:00","ITA",742,166,908,927,1835,258,342,149,52,NA,NA,2036,23345,NA,"",NA,NA,NA
"9","2020-03-03T18:00:00","ITA",1034,229,1263,1000,2263,428,466,160,79,NA,NA,2502,25856,NA,"",NA,NA,NA
"10","2020-03-04T18:00:00","ITA",1346,295,1641,1065,2706,443,587,276,107,NA,NA,3089,29837,NA,"",NA,NA,NA
"11","2020-03-05T18:00:00","ITA",1790,351,2141,1155,3296,590,769,414,148,NA,NA,3858,32362,NA,"",NA,NA,NA
"12","2020-03-06T18:00:00","ITA",2394,462,2856,1060,3916,620,778,523,197,NA,NA,4636,36359,NA,"",NA,NA,NA
"13","2020-03-07T18:00:00","ITA",2651,567,3218,1843,5061,1145,1247,589,233,NA,NA,5883,42062,NA,"pd-IT-0003",NA,NA,NA
"14","2020-03-08T18:00:00","ITA",3557,650,4207,2180,6387,1326,1492,622,366,NA,NA,7375,49937,NA,"",NA,NA,NA
"15","2020-03-09T18:00:00","ITA",4316,733,5049,2936,7985,1598,1797,724,463,NA,NA,9172,53826,NA,"",NA,NA,NA
"16","2020-03-10T18:00:00","ITA",5038,877,5915,2599,8514,529,977,1004,631,NA,NA,10149,60761,NA,"pd-IT-0005",NA,NA,NA
"17","2020-03-11T17:00:00","ITA",5838,1028,6866,3724,10590,2076,2313,1045,827,NA,NA,12462,73154,NA,"nd-IT-0002",NA,NA,NA
"18","2020-03-12T17:00:00","ITA",6650,1153,7803,5036,12839,2249,2651,1258,1016,NA,NA,15113,86011,NA,"",NA,NA,NA
"19","2020-03-13T17:00:00","ITA",7426,1328,8754,6201,14955,2116,2547,1439,1266,NA,NA,17660,97488,NA,"",NA,NA,NA
